Eastern,Sky,Dana,Evans,G,23,26,73,17,42,21,24,1,10,27,5,1,13,90
Eastern,Sky,Astou,Ndour-Fall,C,20,46,116,8,34,32,34,32,63,8,7,16,17,132
Western,Wings,Marina,Mabrey,G,32,158,390,63,184,45,51,23,101,94,31,10,68,424
Western,Wings,Arike,Ogunbowale,G,32,199,520,80,123,121,140,23,80,104,37,0,68,599
Western,Wings,Tyasha ,Harris,G,32,48,143,20,59,25,30,9,42,85,13,10,32,141
Western,Wings,Kayla,Thornton,F,31,83,197,22,63,45,53,65,108,45,26,7,30,233
Western,Wings,Bella,Alarie,C,31,32,64,0,2,17,20,42,60,16,18,20,18,81
Western,Wings,Morih,Jefferson,G,29,66,147,23,50,3,5,12,46,72,24,5,40,158
Western,Wings,Isabelle,Harrison,F,28,129,240,0,1,47,60,44,121,32,31,19,42,305
Western,Wings,Charli,Collier,F,28,40,86,0,0,16,23,31,71,6,4,5,13,96
Western,Wings,Allisha,Gray,G,25,106,242,30,82,56,65,33,97,42,25,21,34,298
Western,Wings,Satou,Sabally,F,17,69,165,18,55,47,61,27,73,48,4,14,39,203
Eastern,Liberty,Betnijah,Laney,F,32,203,450,34,109,96,122,27,105,167,21,3,119,536
Eastern,Liberty,Michaela,Onyenwere,F,32,91,228,37,113,56,67,21,73,18,14,9,34,275
Eastern,Liberty,Didi,Richards,G,31,27,64,10,22,6,10,9,25,25,17,6,16,70
Eastern,Liberty,Sami,Whitcomb,G,30,124,262,76,179,27,33,10,141,81,31,10,62,351
Eastern,Liberty,Kylee,Shook,F,30,71,152,24,61,4,5,20,101,41,10,15,38,170
Eastern,Liberty,Sabrina,Ionescu,G,30,113,298,54,166,72,79,21,150,183,18,16,97,352
Eastern,Liberty,Jazmine,Jones,G,27,53,149,18,47,35,46,12,54,31,14,10,43,159
Eastern,Liberty,Rebecca,Allen,G,25,74,216,48,126,33,37,19,73,28,40,31,21,229
Eastern,Liberty,Leonna,Odom,F,18,21,45,5,17,9,12,11,10,8,5,5,10,56
Eastern,Liberty,Reshanda,Gray,F,15,34,64,2,9,18,26,13,40,5,4,4,21,88
Eastern,Mystics,Leilani,Mitchell,G,31,64,178,50,140,19,23,11,50,77,15,2,35,197
Eastern,Mystics,Theresa,Plaisance,F,31,71,202,35,116,22,27,21,114,42,25,21,37,199
Eastern,Mystics,Ariel,Atkins,G,30,161,396,66,184,98,118,34,49,79,48,16,61,486
Eastern,Mystics,Shavonte,Zellous,G,28,43,114,10,41,25,31,16,50,44,11,6,23,121
Eastern,Mystics,Tina,Charles,C,27,238,530,50,137,105,128,73,185,57,25,23,59,631
Eastern,Mystics,Natasha,Cloud,G,27,81,208,26,95,46,55,11,87,174,37,4,59,234
Eastern,Mystics,Syndey,Wiese,G,27,41,127,23,79,14,18,5,31,43,10,0,27,119
Eastern,Mystics,Erica,Mccall,F,23,37,74,0,1,20,32,33,66,13,7,9,10,94
Eastern,Mystics,Myisha,Hines-Allen,F,18,89,125,13,41,41,56,32,94,45,24,11,32,232
