Eastern,Atlantic,Knicks,Alec,Burks,SG,49,1255,210,500,102,246,101,118,21,206,107,14,31,49,623
Eastern,Atlantic,Knicks,Taj,Gison,C,45,936,99,158,3,15,40,55,99,151,36,49,31,22,241
Eastern,Atlantic,Knicks,Kevin,Knoz-II,F,42,464,56,143,35,89,16,20,10,51,19,6,12,17,163
Eastern,Southeast,Hawks,Solomon,Hill,SF,71,1514,107,298,68,212,35,46,42,172,75,11,50,42,317
Eastern,Southeast,Hawks,Kevin,Huerter,SG,69,2126,316,731,140,386,50,64,38,193,241,18,82,79,822
Eastern,Southeast,Hawks,Clint,Capela,C,63,1898,413,695,0,0,130,227,297,606,49,129,44,73,956
Eastern,Southeast,Hawks,John,Collins,PF,63,1848,429,771,83,208,170,204,118,349,78,63,34,84,1111
Eastern,Southeast,Hawks,Trae,Young,PG,63,2125,487,1112,136,397,484,546,38,207,594,12,53,261,1594
Eastern,Southeast,Hawks,Danilo,Gallinari,PF,51,1222,206,475,103,254,161,174,17,194,76,10,30,43,676
Eastern,Southeast,Hawks,Onyeka,Okongwu,PF,50,601,96,149,0,3,36,57,62,101,18,33,23,29,228
Eastern,Southeast,Hawks,Tony,Snell,SF,47,992,88,171,62,109,11,11,18,94,59,11,13,21,249
Eastern,Southeast,Hawks,Brandon,Goodwin,G,47,620,84,223,32,103,28,43,8,61,95,0,17,36,228
Eastern,Southeast,Hawks,Bogdan,Bogdanovic,SG,44,1305,267,565,146,333,40,44,20,140,147,13,49,54,720
Eastern,Atlantic,Celtics,Payton,Pritchard,PG,66,1268,184,428,120,248,40,45,33,125,120,9,37,53,510
Eastern,Atlantic,Celtics,Jayson,Tatum,SF,64,2290,605,1318,187,485,295,340,50,422,276,31,75,171,1692
Eastern,Atlantic,Celtics,Grant,Williams,PF,63,1138,108,247,48,129,30,51,48,130,64,24,32,56,294
Eastern,Atlantic,Celtics,Jaylen,Brown,SG,58,1999,538,1111,163,411,191,250,71,276,195,32,72,158,1430
Eastern,Atlantic,Celtics,Semi,Ojeleye,PF,56,950,89,221,58,158,24,32,31,116,37,0,17,21,260
Eastern,Atlantic,Celtics,Tristan,Thompson,C,54,1287,169,326,0,3,71,120,169,270,67,33,24,62,409
Eastern,Atlantic,Celtics,Robert,Williams-III,C,52,985,186,258,0,2,45,73,133,225,94,91,43,52,417
Eastern,Atlantic,Celtics,Marcus,Smart,PG,48,1581,203,510,93,282,128,162,36,131,273,23,72,96,627
Eastern,Atlantic,Celtics,Aaron,Nesmith,SF,46,669,78,178,40,108,22,28,28,99,23,9,15,23,218
Eastern,Atlantic,Celtics,Kemba,Walker,PG,43,1369,284,676,127,353,134,149,16,154,212,12,48,88,829
Eastern,Southeast,Wizards,Robin,Lopez,C,71,1354,269,425,5,18,99,137,141,131,55,44,15,75,642
Eastern,Southeast,Wizards,Russel,Westbrook,PG,65,2369,544,1238,86,273,271,413,109,641,763,23,89,312,1445
Eastern,Southeast,Wizards,Raul,Neto,PG,64,1403,209,447,64,164,75,85,28,128,146,6,73,53,557
Eastern,Southeast,Wizards,Garrison,Mathews,SG,64,1038,97,137,76,198,84,95,16,71,26,7,29,10,354
Eastern,Southeast,Wizards,Bradley,Beal,SG,60,2147,670,1382,130,373,408,459,72,211,265,22,69,187,1878
Eastern,Southeast,Wizards,Davis,Bertans,SF,57,1464,193,478,169,428,100,115,18,150,49,13,33,33,655
Eastern,Southeast,Wizards,Alex,Len,C,64,979,171,278,8,25,73,116,78,182,49,64,20,55,423
Eastern,Southeast,Wizards,Rui,Hachimra,PF,57,1797,310,648,45,137,124,161,49,263,82,7,44,68,789
Eastern,Southeast,Wizards,Deni,Avdija,SF,54,1257,130,312,53,168,29,45,22,240,63,15,32,33,342
Eastern,Southeast,Wizards,Ish,Smith,PG,44,924,129,297,18,49,19,33,22,128,172,13,32,41,295
Eastern,Central,Pacers,Justin,Holiday,SF,72,2183,258,625,173,453,67,85,32,224,119,41,74,54,756
Eastern,Central,Pacers,T.J.,McConnell,PG,69,1796,274,490,15,48,33,48,55,201,456,23,128,135,596
Eastern,Central,Pacers,Doug,McDerrmott,SF,66,1619,354,665,111,286,80,98,60,161,85,6,20,53,899
Eastern,Central,Pacers,Aarn,Holiday,PG,66,1176,170,436,67,182,68,83,15,74,123,13,46,66,475
Eastern,Central,Pacers,Domantas,Sabonis,PF,62,2231,484,904,52,162,240,328,150,592,415,33,76,213,1260
Eastern,Central,Pacers,Malcolm,Brogdon,PG,56,1930,444,980,145,374,153,177,58,236,329,15,49,115,1186
Eastern,Central,Pacers,Edmond,Sumner,PG,53,861,148,282,35,88,68,83,18,76,49,10,33,51,399
Eastern,Central,Pacers,Myles,Turner,C,47,155,296,432,69,206,111,142,63,243,48,159,40,67,592
Eastern,Central,Pacers,Goga,Bitadze,C,45,561,83,194,20,79,45,61,60,90,37,60,9,17,231
Eastern,Central,Pacers,Jeremy,Lamb,SG,36,765,120,276,52,128,71,75,25,106,53,23,34,22,363
Eastern,Southeast,Hornets,Terry,Rozier,SG,69,2383,510,1134,222,571,165,202,47,255,293,26,87,128,1407
Eastern,Southeast,Hornets,Bismack,Biyombo,C,66,1349,142,242,0,1,47,105,137,210,81,74,17,71,331
Eastern,Southeast,Hornets,Miles,Bridges,SF,66,1932,313,622,116,290,98,113,81,316,147,52,44,106,840
Eastern,Southeast,Hornets,P.J.,Washington,PF,64,1954,302,686,112,290,108,145,93,325,161,79,69,128,824
Eastern,Southeast,Hornets,Devonte,Graham,PG,55,1659,252,669,179,477,133,158,22,126,295,6,48,84,816
Eastern,Southeast,Hornets,Caleb,Martin,SF,53,818,96,256,31,125,41,64,31,110,67,12,37,33,264
Eastern,Southeast,Hornets,Cody,Martin,SF,52,849,83,188,16,58,25,43,52,109,86,12,37,40,207
Eastern,Southeast,Hornets,LaMelo,Ball,PG,51,1469,293,672,92,261,125,165,63,239,313,18,81,145,803
Eastern,Southeast,Hornets,Cody,Zeller,C,48,1005,181,324,4,28,85,119,119,209,86,17,27,51,451
Eastern,Southeast,Hornets,Jalen,McDaniels,PF,47,904,133,284,35,105,45,64,45,124,53,19,28,45,346
Eastern,Central,Bulls,Patrick,Williams,PF,71,1983,255,528,54,138,91,125,66,261,99,46,64,98,655
Eastern,Central,Bulls,Coby,White,PG,69,2156,375,902,163,454,128,142,28,256,328,15,38,156,1041
Eastern,Central,Bulls,Thaddeus,Young,PF,68,1652,370,662,12,45,71,113,168,255,291,40,74,137,823
Eastern,Central,Bulls,Denzel,Valentine,SG,62,1036,155,416,80,242,16,17,24,173,105,7,30,42,406
Eastern,Central,Bulls,Tomas,Satoransky,SG,58,1307,169,329,42,118,67,79,30,112,271,14,40,96,447
Eastern,Central,Bulls,Zach,LaVine,SG,58,2034,569,1123,200,477,253,298,36,253,282,27,46,203,1591
Eastern,Central,Bulls,Garret,Temple,SF,56,1528,158,381,67,200,40,50,29,131,124,30,43,58,423
Eastern,Central,Bulls,Lauri,Markkanen,PF,51,1317,250,521,119,296,76,92,35,233,45,15,26,52,695
Eastern,Central,Bulls,Ryan,Arcidiacono,G,44,450,49,117,25,67,13,20,5,62,56,0,9,10,136
Eastern,Central,Bulls,Wendell,Carter-Jr.,C,54,1375,230,457,15,51,131,179,132,311,104,42,35,78,606
Eastern,Atlantic,Raptors,Stanley,Johnson,PF,61,1006,89,233,45,137,44,55,29,124,89,18,52,54,267
Eastern,Atlantic,Raptors,Chris,Boucher,PF,60,1453,288,560,90,235,152,193,117,287,63,111,35,46,818
Eastern,Atlantic,Raptors,Pascal,Siakam,PF,56,2006,437,961,73,246,249,301,95,310,250,37,64,130,119
Eastern,Atlantic,Raptors,Aron,Baynes,C,53,980,134,304,27,103,29,41,87,186,47,23,17,46,324
Eastern,Atlantic,Raptors,Fred,VanVleet,SG,52,1899,338,870,174,476,169,191,32,188,328,37,87,95,1019
Eastern,Atlantic,Raptors,DeAndre',Bembry,SG,51,972,117,228,14,53,45,66,33,113,107,18,53,71,293
Eastern,Atlantic,Raptors,Yuta,Watanabe,SF,50,723,79,180,36,90,24,29,36,123,40,19,26,19,218
Eastern,Atlantic,Raptors,Malachi,Flynn,PG,47,928,127,340,54,168,45,56,10,106,137,7,38,43,353
Eastern,Atlantic,Raptors,Kyle,Lowry,PG,46,1602,260,596,131,331,140,160,35,212,338,14,45,126,791
Eastern,Atlantic,Raptors,OG,Anunoby,SF,43,1433,249,519,104,261,80,12,54,183,94,32,66,76,682
Eastern,Central,Cavaliers,Isaac,Okoro,SF,67,2173,235,559,62,214,114,157,68,138,128,24,62,86,646
Eastern,Central,Cavaliers,Dean,Wade,PF,63,1212,134,311,78,213,30,39,38,177,74,21,35,30,376
Eastern,Central,Cavaliers,Collin,Sexton,PG,60,2115,525,1105,98,264,312,383,58,129,262,10,62,167,1460
Eastern,Central,Cavaliers,Cedi,Osman,SF,59,1511,219,586,99,324,76,95,38,163,174,9,53,80,613
Eastern,Central,Cavaliers,Darius,Garland,PG,54,1790,362,802,105,266,112,132,23,106,329,6,66,164,941
Eastern,Central,Cavaliers,Jarrett,Allen,C,63,1864,298,482,6,19,204,290,196,435,106,90,32,100,806
Eastern,Central,Cavaliers,Damyean,Dotson,SG,46,907,119,293,46,159,24,36,5,88,91,4,16,42,308
Eastern,Central,Cavaliers,Lamar,Stevens,F,40,499,62,136,4,25,37,51,24,72,25,13,7,23,165
